code_state,abbrev_state,name_state,code_region,name_region,lon,lat
11,RO,Rondônia,1,Norte,-62.84763882714423,-10.91050465041928
12,AC,Acre,1,Norte,-70.47879347326457,-9.214747678331692
13,AM,Amazônas,1,Norte,-64.65015703505357,-4.1545340586126445
14,RR,Roraima,1,Norte,-61.39152328435103,2.081846536856347
15,PA,Pará,1,Norte,-53.07072104745668,-3.974326380782429
16,AP,Amapá,1,Norte,-51.96206566537871,1.4470593699997094
17,TO,Tocantins,1,Norte,-48.33010995253344,-10.138849520102085
21,MA,Maranhão,2,Nordeste,-45.28500361589761,-5.067444088652907
22,PI,Piauí,2,Nordeste,-42.96324587190553,-7.384407411323174
23,CE,Ceará,2,Nordeste,-39.61639666151752,-5.091456162434908
24,RN,Rio Grande Do Norte,2,Nordeste,-36.673270701458506,-5.840061231615621
25,PB,Paraíba,2,Nordeste,-36.832492578763315,-7.121849784106405
26,PE,Pernambuco,2,Nordeste,-37.997575760620215,-8.328604359008503
27,AL,Alagoas,2,Nordeste,-36.624773281062076,-9.51408286488229
28,SE,Sergipe,2,Nordeste,-37.443638321793784,-10.583229405523817
29,BA,Bahia,2,Nordeste,-41.722141143976984,-12.468737516254636
31,MG,Minas Gerais,3,Sudeste,-44.662214392980275,-18.446480398338014
32,ES,Espírito Santo,3,Sudeste,-40.66520753153127,-19.570925061204687
33,RJ,Rio De Janeiro,3,Sudeste,-42.65766625197015,-22.196675808746427
35,SP,São Paulo,3,Sudeste,-48.740621322207645,-22.264274062528735
41,PR,Paraná,4,Sul,-51.61920402823893,-24.63543143321809
42,SC,Santa Catarina,4,Sul,-50.48010542511258,-27.24931934226216
43,RS,Rio Grande Do Sul,4,Sul,-53.31926066857277,-29.697266760851523
50,MS,Mato Grosso Do Sul,5,Centro Oeste,-54.84849857670374,-20.319965343770743
51,MT,Mato Grosso,5,Centro Oeste,-55.91793916356488,-12.941023150382028
52,GO,Goiás,5,Centro Oeste,-49.60950662083638,-16.03404099915703
53,DF,Distrito Federal,5,Centro Oeste,-47.79683262719867,-15.781198454094108
