Tipo_Local,Local,Ano,Sexo,Faixa_Etaria,Taxa_Especifica,Taxa_Modificada,Taxa_Bruta,Taxa_Padronizada,Taxa_Padronizada_Por_Sexo,Taxa_Bruta_Por_Sexo,Taxa_Padronizada_Por_Faixa_Etaria,Taxa_Bruta_Por_Faixa_Etaria
Pais,Brasil,2000,Feminino,De 0 a 14 anos,0.162,0.02,3.887,4.284,1.6845772566188932,1.563,0.1599608194410052,0.16
Pais,Brasil,2000,Feminino,De 15 a 19 anos,2.02,0.089,3.887,4.284,1.6845772566188932,1.563,2.8990152684705146,2.897
Pais,Brasil,2000,Feminino,De 20 a 24 anos,1.995,0.09,3.887,4.284,1.6845772566188932,1.563,5.236362745763908,5.223
Pais,Brasil,2000,Feminino,De 25 a 49 anos,2.139,0.406,3.887,4.284,1.6845772566188932,1.563,5.836955461904734,5.831
Pais,Brasil,2000,Feminino,De 50 a 69 anos,2.332,0.191,3.887,4.284,1.6845772566188932,1.563,6.490861402114023,6.518
Pais,Brasil,2000,Feminino,De 70 ou mais,2.262,0.063,3.887,4.284,1.6845772566188932,1.563,7.043673568051165,7.16
Pais,Brasil,2000,Masculino,De 0 a 14 anos,0.158,0.02,3.887,4.284,6.982487784629043,6.287,0.1599608194410052,0.16
Pais,Brasil,2000,Masculino,De 15 a 19 anos,3.765,0.169,3.887,4.284,6.982487784629043,6.287,2.8990152684705146,2.897
Pais,Brasil,2000,Masculino,De 20 a 24 anos,8.472,0.381,3.887,4.284,6.982487784629043,6.287,5.236362745763908,5.223
Pais,Brasil,2000,Masculino,De 25 a 49 anos,9.711,1.767,3.887,4.284,6.982487784629043,6.287,5.836955461904734,5.831
Pais,Brasil,2000,Masculino,De 50 a 69 anos,11.173,0.816,3.887,4.284,6.982487784629043,6.287,6.490861402114023,6.518
Pais,Brasil,2000,Masculino,De 70 ou mais,13.618,0.272,3.887,4.284,6.982487784629043,6.287,7.043673568051165,7.16
Pais,Brasil,2001,Feminino,De 0 a 14 anos,0.206,0.025,4.37,4.748,1.846353023826923,1.736,0.2126273368167331,0.213
Pais,Brasil,2001,Feminino,De 15 a 19 anos,2.485,0.109,4.37,4.748,1.846353023826923,1.736,3.8667414793207,3.864
Pais,Brasil,2001,Feminino,De 20 a 24 anos,1.989,0.09,4.37,4.748,1.846353023826923,1.736,5.68076053350322,5.667
Pais,Brasil,2001,Feminino,De 25 a 49 anos,2.375,0.451,4.37,4.748,1.846353023826923,1.736,6.449002174222041,6.441
Pais,Brasil,2001,Feminino,De 50 a 69 anos,2.556,0.21,4.37,4.748,1.846353023826923,1.736,7.0766037862589934,7.104
Pais,Brasil,2001,Feminino,De 70 ou mais,2.037,0.057,4.37,4.748,1.846353023826923,1.736,7.15258226296703,7.249
Pais,Brasil,2001,Masculino,De 0 a 14 anos,0.219,0.028,4.37,4.748,7.757003530001717,7.092,0.2126273368167331,0.213
Pais,Brasil,2001,Masculino,De 15 a 19 anos,5.228,0.235,4.37,4.748,7.757003530001717,7.092,3.8667414793207,3.864
Pais,Brasil,2001,Masculino,De 20 a 24 anos,9.366,0.421,4.37,4.748,7.757003530001717,7.092,5.68076053350322,5.667
Pais,Brasil,2001,Masculino,De 25 a 49 anos,10.717,1.95,4.37,4.748,7.757003530001717,7.092,6.449002174222041,6.441
Pais,Brasil,2001,Masculino,De 50 a 69 anos,12.166,0.888,4.37,4.748,7.757003530001717,7.092,7.0766037862589934,7.104
Pais,Brasil,2001,Masculino,De 70 ou mais,14.186,0.284,4.37,4.748,7.757003530001717,7.092,7.15258226296703,7.249
Pais,Brasil,2002,Feminino,De 0 a 14 anos,0.216,0.026,4.309,4.631,1.9737719950028083,1.866,0.2144706145807539,0.215
Pais,Brasil,2002,Feminino,De 15 a 19 anos,2.276,0.1,4.309,4.631,1.9737719950028083,1.866,3.5464163364370416,3.545
Pais,Brasil,2002,Feminino,De 20 a 24 anos,2.396,0.108,4.309,4.631,1.9737719950028083,1.866,5.810015231063978,5.799
Pais,Brasil,2002,Feminino,De 25 a 49 anos,2.585,0.491,4.309,4.631,1.9737719950028083,1.866,6.4128625079779855,6.405
Pais,Brasil,2002,Feminino,De 50 a 69 anos,2.566,0.21,4.309,4.631,1.9737719950028083,1.866,6.533406070063304,6.555
Pais,Brasil,2002,Feminino,De 70 ou mais,2.536,0.071,4.309,4.631,1.9737719950028083,1.866,7.084400658866562,7.15
Pais,Brasil,2002,Masculino,De 0 a 14 anos,0.213,0.027,4.309,4.631,7.385563530021819,6.835,0.2144706145807539,0.215
Pais,Brasil,2002,Masculino,De 15 a 19 anos,4.798,0.216,4.309,4.631,7.385563530021819,6.835,3.5464163364370416,3.545
Pais,Brasil,2002,Masculino,De 20 a 24 anos,9.218,0.415,4.309,4.631,7.385563530021819,6.835,5.810015231063978,5.799
Pais,Brasil,2002,Masculino,De 25 a 49 anos,10.423,1.897,4.309,4.631,7.385563530021819,6.835,6.4128625079779855,6.405
Pais,Brasil,2002,Masculino,De 50 a 69 anos,11.0,0.803,4.309,4.631,7.385563530021819,6.835,6.533406070063304,6.555
Pais,Brasil,2002,Masculino,De 70 ou mais,13.338,0.267,4.309,4.631,7.385563530021819,6.835,7.084400658866562,7.15
Pais,Brasil,2003,Feminino,De 0 a 14 anos,0.178,0.022,4.326,4.605,1.8123767644426727,1.736,0.2045093472669326,0.205
Pais,Brasil,2003,Feminino,De 15 a 19 anos,2.353,0.104,4.326,4.605,1.8123767644426727,1.736,3.620897668046009,3.62
Pais,Brasil,2003,Feminino,De 20 a 24 anos,2.289,0.103,4.326,4.605,1.8123767644426727,1.736,5.841137219304033,5.831
Pais,Brasil,2003,Feminino,De 25 a 49 anos,2.409,0.458,4.326,4.605,1.8123767644426727,1.736,6.346746287551223,6.338
Pais,Brasil,2003,Feminino,De 50 a 69 anos,2.157,0.177,4.326,4.605,1.8123767644426727,1.736,6.682307848471541,6.703
Pais,Brasil,2003,Feminino,De 70 ou mais,2.204,0.062,4.326,4.605,1.8123767644426727,1.736,6.391964539260028,6.439
Pais,Brasil,2003,Masculino,De 0 a 14 anos,0.23,0.029,4.326,4.605,7.496512079138576,7.007,0.2045093472669326,0.205
Pais,Brasil,2003,Masculino,De 15 a 19 anos,4.87,0.219,4.326,4.605,7.496512079138576,7.007,3.620897668046009,3.62
Pais,Brasil,2003,Masculino,De 20 a 24 anos,9.387,0.422,4.326,4.605,7.496512079138576,7.007,5.841137219304033,5.831
Pais,Brasil,2003,Masculino,De 25 a 49 anos,10.472,1.906,4.326,4.605,7.496512079138576,7.007,6.346746287551223,6.338
Pais,Brasil,2003,Masculino,De 50 a 69 anos,11.777,0.86,4.326,4.605,7.496512079138576,7.007,6.682307848471541,6.703
Pais,Brasil,2003,Masculino,De 70 ou mais,12.15,0.243,4.326,4.605,7.496512079138576,7.007,6.391964539260028,6.439
